_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
67b493ac6de0b0fec48daa01,,92.69,92.98,110.07,74.22,48;2;1;0,words,10,-1,1,6.21,0,1.51,false,false,english,none,normal,false,false,false,,1739887532000
67b493a06de0b0fec48da93a,,88.09,100,88.09,79.32,57;0;0;0,words,10,-1,3,7.76,0,12.19,false,false,english,none,normal,false,false,false,,1739887520000
67b4935a6de0b0fec48da4e6,,59.2,82.69,80.8,64.89,74;10;0;2,time,15,-1,1,15,0,4.91,false,false,english,none,normal,false,false,false,,1739887450000
67b493396de0b0fec48da2c5,,89.58,99.12,89.58,70.18,112;0;0;0,time,15,-1,1,15,0,1.15,false,false,english,none,normal,false,false,false,,1739887417000
67af0d006de0b0fec454afd2,,87.95,94.53,102.34,80.45,110;4;0;2,time,15,-1,3,15.01,0,3.63,false,false,english,none,normal,false,false,false,,1739525376000
67af0cc96de0b0fec454adb5,true,124.89,100,124.89,74.84,46;0;0;0,words,10,-1,3,4.42,0,4.9,false,false,english,none,normal,false,false,false,,1739525321000
678b69dc49deeea6275645a6,,84.73,94.96,95.12,75.44,106;4;0;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1737189852000
678b696d49deeea6275641ac,,72.78,91.09,80.78,72.63,91;7;0;2,time,15,-1,1,15,0,0.04,false,false,english,none,normal,false,false,false,,1737189741000
678b695b49deeea6275640fd,,76.73,98.1,83.13,78.49,96;0;1;0,time,15,-1,5,15.01,0,18.38,false,false,english,none,normal,false,false,false,,1737189723000
678b690449deeea627563db2,,75.99,92.31,82.39,67.77,95;5;1;0,time,15,-1,1,15,0,7.99,false,false,english,none,normal,false,false,false,,1737189636000
678b68eb49deeea627563cb5,,87.17,96.52,91.17,72.37,109;2;0;1,time,15,-1,1,15.01,0,1.97,false,false,english,none,normal,false,false,false,,1737189611000
678b68d049deeea627563be7,,66.87,92.5,83.58,75.88,32;1;0;2,words,10,-1,0,5.74,0,0,false,false,english,none,normal,false,false,false,,1737189584000
678b68c949deeea627563b94,,79.11,96.3,87.18,71.55,49;2;0;0,words,10,-1,13,7.43,0,26.62,false,false,english,none,normal,false,false,false,,1737189577000
678b689149deeea6275639a7,,99.63,92.5,113.86,60.49,35;2;0;0,words,10,-1,5,4.22,0,3.93,false,false,english,none,normal,false,false,false,,1737189521000
678b688449deeea627563942,,75.49,96.43,82.89,56.66,51;1;0;1,words,10,-1,1,8.11,0,0.81,false,false,english,none,normal,false,false,false,,1737189508000
6762b8da1df1c69f155f92a6,,76.89,100,76.89,79.82,50;0;0;0,words,10,-1,11,7.8,0,19.36,false,false,english,none,normal,false,false,false,,1734523098000
6762b8ae1df1c69f155f90eb,true,100.09,100,100.09,88.76,49;0;0;0,words,10,-1,3,5.87,0,12.92,false,false,english,none,normal,false,false,false,,1734523054000
6762b8901df1c69f155f8fb2,,79.21,98,86.1,66.15,46;0;0;1,words,10,-1,2,6.97,0,9.58,false,false,english,none,normal,false,false,false,,1734523024000
6762b8771df1c69f155f8e9c,,68.62,93.88,78.66,72.39,41;1;0;0,words,10,-1,0,7.17,0,0,false,false,english,none,normal,false,false,false,,1734522999000
6762b86d1df1c69f155f8e1d,true,85.16,100,85.16,76.21,53;0;0;0,words,10,-1,3,7.47,0,5.97,false,false,english,none,normal,false,false,false,,1734522989000
6762b84e1df1c69f155f8cdb,,75.99,98.04,81.59,83.71,95;1;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1734522958000
6762b83c1df1c69f155f8c04,true,67.55,100,67.55,46.6,52;0;0;0,words,10,-1,17,9.24,0,23.84,false,false,english,none,normal,false,false,false,,1734522940000
67406a9272e2e364f41a7d7b,,62.37,89.69,72.77,62.19,78;2;1;1,time,15,-1,4,15.01,0,7.62,false,false,english,none,normal,false,false,false,,1732274834000
67406a7472e2e364f41a7c40,,79.93,97.12,83.12,76.76,100;2;0;1,time,15,-1,7,15.01,0,16.75,false,false,english,none,normal,false,false,false,,1732274804000
673f1a3672e2e364f40a3153,,82.36,94.59,87.96,69.27,103;4;0;0,time,15,-1,6,15.01,0,12.32,false,false,english,none,normal,false,false,false,,1732188726000
673c8cc972e2e364f4e9730e,,68.77,95.6,68.77,55.63,86;0;0;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1732021449000
673b2126cb87917df29aa1d4,,58.39,89.58,76.78,75.93,73;4;0;5,time,15,-1,2,15,0,0.9,false,false,english,none,normal,false,false,false,,1731928358000
673b2110cb87917df29aa0be,,63.16,91.75,76.75,63.04,79;4;1;1,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1731928336000
6737460bcb87917df272e2fe,,95.18,96.75,98.38,83.82,119;2;1;0,time,15,-1,5,15,0,9.07,false,false,english,none,normal,false,false,false,,1731675659000
